"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_C_beta1" "se_MLE_C_beta2" "se_MLE_C_gama1" "se_MLE_C_gama2" "se_MLE_beta1" "se_SMLE_beta2" "se_SMLE_gama1" "se_SMLE_gama2" "se_SMLE_C_beta1" "se_SMLE_C_beta2" "se_SMLE_C_gama1" "se_SMLE_C_gama2" "se_MDPDE_beta1" "se_MDPDE_beta2" "se_MDPDE_gama1" "se_MDPDE_gama2" "se_MDPDE_C_beta1" "se_MDPDE_C_beta2" "se_MDPDE_C_gama1" "se_MDPDE_C_gama2"
0.149333143427785 0.289431092229864 0.516454663727811 0.879787384846773 0.178956569819505 0.541789452883895 0.507551472737062 0.914302789011479 0.149333143427785 0.289431092229864 0.516454663727811 0.879787384846773 0.148994909430679 0.30012075572552 0.517124674986765 0.882167391274868 0.149333143427785 0.289431092229864 0.516454663727811 0.879787384846773 0.148959191444128 0.300289779959495 0.517201632429108 0.882295237836175
0.133564794118868 0.298204149242767 0.513393634803798 0.87596664517454 0.149968933224764 0.481543506386039 0.502999572145741 0.887627521721292 0.133564794118868 0.298204149242767 0.513393634803798 0.87596664517454 0.135132244546286 0.311633849279566 0.515482503509914 0.880983609956842 0.133564794118868 0.298204149242767 0.513393634803798 0.87596664517454 0.134875661368673 0.312013377877259 0.515449096023987 0.880793188114993
0.171723615379252 0.288478176930462 0.519511384830574 0.881036566266371 0.151466073049677 0.487410199850807 0.502965406585755 0.888376051459433 0.171723615379252 0.288478176930462 0.519511384830574 0.881036566266371 0.16854944694924 0.290487404581704 0.520419485177978 0.883376994823512 0.171723615379252 0.288478176930462 0.519511384830574 0.881036566266371 0.167873764057898 0.291203585501764 0.521880149127788 0.886102269504874
0.154852904843308 0.237070592914613 0.517653423078017 0.875030791504687 0.150949588435653 0.482554423668533 0.503383388282075 0.88836144898946 0.154852904843308 0.237070592914613 0.517653423078017 0.875030791504687 0.152784891034055 0.241787280244758 0.518933852622198 0.878096179298584 0.154852904843308 0.237070592914613 0.517653423078017 0.875030791504687 0.15268575982579 0.242230363768096 0.519047466031737 0.878351492507306
0.170373999831678 0.312901525086018 0.518671473494409 0.883204705216078 0.194584299395138 0.543612285210265 0.511038072455357 0.914396971667537 0.170373999831678 0.312901525086018 0.518671473494409 0.883204705216078 0.17322669011393 0.316526389259032 0.521580989475655 0.888199731322905 0.170373999831678 0.312901525086018 0.518671473494409 0.883204705216078 0.173099473972271 0.316791078053686 0.521671488603371 0.888383489345568
0.151957852148415 0.302821018835393 0.5165944169993 0.88083300194133 0.173679645588287 0.525128433759851 0.506920326912768 0.906374304691244 0.151957852148415 0.302821018835393 0.5165944169993 0.88083300194133 0.153826897086576 0.287125641161733 0.518618505645308 0.882408383727342 0.151957852148415 0.302821018835393 0.5165944169993 0.88083300194133 0.153805196610251 0.287425035479944 0.51870448070174 0.882580288618874
0.216454825706739 0.357517067921186 0.52523785634211 0.890419385014293 0.222737540610394 0.583974798527773 0.517598738494329 0.932008298868517 0.216454825706739 0.357517067921186 0.52523785634211 0.890419385014293 0.222737540610394 0.583974798527773 0.517598738494329 0.932008298868517 0.216454825706739 0.357517067921186 0.52523785634211 0.890419385014293 0.222737540610394 0.583974798527773 0.517598738494329 0.932008298868517
0.120672774778288 0.255649486044478 0.513996473746474 0.874430830137929 0.144523968044181 0.482182044908135 0.501946476940125 0.888874898254737 0.120672774778288 0.255649486044478 0.513996473746474 0.874430830137929 0.121697451340397 0.250204577837504 0.515556659857784 0.876841146709586 0.120672774778288 0.255649486044478 0.513996473746474 0.874430830137929 0.121652650916525 0.250578363033923 0.515627582955873 0.876969205890241
0.172450899752348 0.352899408590324 0.517693360551068 0.886567902680133 0.197704932615748 0.557809864778463 0.511510854252406 0.921045026881385 0.172450899752348 0.352899408590324 0.517693360551068 0.886567902680133 0.174578578577926 0.360499843341886 0.520466397392806 0.892563274073238 0.172450899752348 0.352899408590324 0.517693360551068 0.886567902680133 0.197704932615748 0.557809864778463 0.511510854252406 0.921045026881385
0.139795770737878 0.298582401745716 0.514578306667665 0.877772391867664 0.148749817693113 0.468534502574103 0.503254034465523 0.882711167578959 0.139795770737878 0.298582401745716 0.514578306667665 0.877772391867664 0.141172876493116 0.302044523142935 0.517184946699448 0.882634672509385 0.139795770737878 0.298582401745716 0.514578306667665 0.877772391867664 0.140879194357944 0.302871814699451 0.517166034021426 0.882595011944938
