"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_gama2" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "MLE_C_gama2" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_gama2" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "SMLE_C_gama2" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_gama2" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1" "MDPDE_C_gama2"
-2.60575477542593 -2.23380731126956 4.4133205093991 1.5330130279279 -3.10566566944671 -0.202481231667163 5.92732248010168 -4.24983020883875 -2.60575477542593 -2.23380731126956 4.4133205093991 1.5330130279279 -2.61469739460947 -2.21318933753503 4.41734118133318 1.52356751564374 -2.60575477542593 -2.23380731126956 4.4133205093991 1.5330130279279 -2.61805354932182 -2.20389327350724 4.43037659238063 1.49016814516153
-2.59219942801509 -2.27588863178182 4.67419310003587 1.33606002981157 -3.00014330623842 -0.495115150453719 6.12561679830245 -4.35583448670457 -2.59219942801509 -2.27588863178182 4.67419310003587 1.33606002981157 -2.62513886018021 -2.1752505251205 4.71161257096241 1.18997551681931 -2.59219942801509 -2.27588863178182 4.67419310003587 1.33606002981157 -2.62713551120372 -2.16962518615529 4.72143342815815 1.16541823925329
-2.58106642097187 -2.47396342234494 5.08128425282223 0.626186105393189 -2.97305399211295 -0.689569107094937 6.2998846159559 -4.60210188813368 -2.58106642097187 -2.47396342234494 5.08128425282223 0.626186105393189 -2.60050071047536 -2.40871011328645 5.1106005440672 0.520874545648306 -2.58106642097187 -2.47396342234494 5.08128425282223 0.626186105393189 -2.60303860555028 -2.40095222299177 5.11954494773627 0.496544786804192
-2.45800439386305 -2.569913685919 4.76762149244297 1.09698697853676 -2.82231828787697 -0.88613542501267 6.29215301970727 -4.62276539153036 -2.45800439386305 -2.569913685919 4.76762149244297 1.09698697853676 -2.44236464584081 -2.60756130747434 4.92184697935272 0.729479790335137 -2.45800439386305 -2.569913685919 4.76762149244297 1.09698697853676 -2.44508163651328 -2.59935136848822 4.93029662753855 0.705868316273671
-2.62945876925875 -2.2544880656872 4.39317134181133 1.57745542373995 -3.11717051083769 -0.235798376040467 6.02776540411231 -4.40071845006902 -2.62945876925875 -2.2544880656872 4.39317134181133 1.57745542373995 -2.65584469942832 -2.1979612233842 4.47354776670291 1.44781994246982 -2.62945876925875 -2.2544880656872 4.39317134181133 1.57745542373995 -2.65798631514367 -2.19115813046549 4.48142922878816 1.42319057322266
-2.3085654506132 -2.83336631367569 3.98839415856744 2.16310242806514 -2.89518490152053 -0.42325044665496 5.47146668653929 -3.87767537532604 -2.3085654506132 -2.83336631367569 3.98839415856744 2.16310242806514 -2.3429942057622 -2.73596130522828 3.99023692396907 2.13810172709029 -2.3085654506132 -2.83336631367569 3.98839415856744 2.16310242806514 -2.34641674937297 -2.72675341243994 4.00020552842736 2.11234665257016
-2.51493639488352 -2.33288665084442 4.55432964266735 1.07584636937122 -2.94492801602085 -0.473240330094649 5.91522465123628 -4.24438717206926 -2.51493639488352 -2.33288665084442 4.55432964266735 1.07584636937122 -2.52689743256983 -2.2957629709258 4.53444504720774 1.06817811998709 -2.51493639488352 -2.33288665084442 4.55432964266735 1.07584636937122 -2.52975436301093 -2.28742704009622 4.54597154001352 1.04049844540599
-2.56854388951308 -2.35437349454553 4.22946413191969 1.68064587114586 -3.08382124106714 -0.258066695615708 5.95504007166963 -4.37613855508817 -2.56854388951308 -2.35437349454553 4.22946413191969 1.68064587114586 -2.55112091915884 -2.40335053285315 4.29069047344573 1.51000663365286 -2.56854388951308 -2.35437349454553 4.22946413191969 1.68064587114586 -2.5545859965263 -2.39376898426625 4.30372029085678 1.47868766811581
-2.46457230067641 -2.54744591908578 4.90366555774668 1.02175457524511 -2.9039898025166 -0.692867558987352 6.35614564410432 -4.63985158562919 -2.46457230067641 -2.54744591908578 4.90366555774668 1.02175457524511 -2.47148137543226 -2.52741710947407 4.93191775742405 0.945208348355716 -2.46457230067641 -2.54744591908578 4.90366555774668 1.02175457524511 -2.47467722113462 -2.51803545924835 4.93551442164324 0.934500116152845
-2.53739892920732 -2.5112393817805 5.05721418553184 0.545209612399636 -2.90880108302018 -0.777970976480086 6.18145466112157 -4.4513689417242 -2.53739892920732 -2.5112393817805 5.05721418553184 0.545209612399636 -2.53505157857429 -2.51224881738388 5.0508330455767 0.557208648078681 -2.53739892920732 -2.5112393817805 5.05721418553184 0.545209612399636 -2.53745419836736 -2.5048960752156 5.05784963707055 0.536823169730191
