"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_gama2" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "MLE_C_gama2" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_gama2" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "SMLE_C_gama2" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_gama2" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1" "MDPDE_C_gama2"
-2.55556351717884 -2.38700302250136 4.77009543563196 0.986041738325472 -2.99241921669939 -0.50671338954649 6.15454735553253 -4.48393383164488 -2.55556351717884 -2.38700302250136 4.77009543563196 0.986041738325472 -2.53814566665746 -2.43729845798237 4.73461558099766 1.06140912273868 -2.55556351717884 -2.38700302250136 4.77009543563196 0.986041738325472 -2.54082471405411 -2.42955950278681 4.74520380300662 1.03495931947486
-2.47684406278397 -2.55443571402681 4.20750926359044 1.87778739615442 -3.03000926383063 -0.281008947201912 5.65122256502835 -4.01472695998711 -2.47684406278397 -2.55443571402681 4.20750926359044 1.87778739615442 -2.46614955771667 -2.59759974382504 4.18835421168279 1.98327024428902 -2.47684406278397 -2.55443571402681 4.20750926359044 1.87778739615442 -2.46880744874237 -2.58968535231706 4.19649989747427 1.95898203434744
-2.45245349998646 -2.52685226196125 4.45648676248527 1.27528775624065 -2.96038378289313 -0.421057351096127 5.86345515048937 -4.25318973567965 -2.45245349998646 -2.52685226196125 4.45648676248527 1.27528775624065 -2.42459419781006 -2.6182854317878 4.36296165393713 1.54707759897674 -2.45245349998646 -2.52685226196125 4.45648676248527 1.27528775624065 -2.42780508691926 -2.60855659161765 4.37370609723204 1.51734773299875
-2.64157982084295 -2.30089846659911 4.47608400740054 1.45974383743437 -3.09622843031077 -0.348014102091801 6.10829283141857 -4.48952765142478 -2.64157982084295 -2.30089846659911 4.47608400740054 1.45974383743437 -2.64877736660689 -2.28909556574029 4.47915639799352 1.48772594408705 -2.64157982084295 -2.30089846659911 4.47608400740054 1.45974383743437 -2.65119168415748 -2.28165352928385 4.49042054494123 1.45603207186316
-2.52471623716085 -2.50915703363237 4.78115445794883 0.961174838179916 -2.98456025012103 -0.52274280808975 6.06207019151215 -4.40778471094694 -2.52471623716085 -2.50915703363237 4.78115445794883 0.961174838179916 -2.51916845077532 -2.52713669200758 4.72694742059785 1.09617221117018 -2.52471623716085 -2.50915703363237 4.78115445794883 0.961174838179916 -2.52208816274515 -2.51845034016892 4.73706155822648 1.06941368677768
-2.37780111203592 -2.67259503368025 4.62865320638104 1.14502540719027 -2.80111979205438 -0.764239842195884 5.87251442578702 -4.19568947348531 -2.37780111203592 -2.67259503368025 4.62865320638104 1.14502540719027 -2.39124193586054 -2.63399701028147 4.54775310089399 1.32685951807342 -2.37780111203592 -2.67259503368025 4.62865320638104 1.14502540719027 -2.39401359996667 -2.62579613888798 4.55868091100326 1.29859924606743
-2.55761461912995 -2.33242362117941 4.59667285242231 1.10681388410088 -3.01062275448691 -0.40331841778393 5.93072420656718 -4.23941887081932 -2.55761461912995 -2.33242362117941 4.59667285242231 1.10681388410088 -2.56848126192192 -2.29682675043423 4.61704709176864 1.02852454290859 -2.55761461912995 -2.33242362117941 4.59667285242231 1.10681388410088 -2.57128353704696 -2.28883547160059 4.62603453576863 1.0052452940956
-2.49114378333233 -2.50895527210285 4.67819793516176 1.0023636104544 -2.95277942508646 -0.556693455400944 6.17277574628236 -4.57013709260131 -2.49114378333233 -2.50895527210285 4.67819793516176 1.0023636104544 -2.47863125685727 -2.54434140993847 4.69856345235404 0.95730755723715 -2.49114378333233 -2.50895527210285 4.67819793516176 1.0023636104544 -2.48204820908346 -2.53421908256533 4.70832882211689 0.930969992503475
-2.48397911740431 -2.4985238668104 4.35083544696481 1.51034801321247 -2.96357878080139 -0.436497441303901 5.77886058586382 -4.16196834485828 -2.48397911740431 -2.4985238668104 4.35083544696481 1.51034801321247 -2.46946270512341 -2.5396947375027 4.36394498450438 1.45886550243058 -2.48397911740431 -2.4985238668104 4.35083544696481 1.51034801321247 -2.47236007032732 -2.53149704238192 4.37443097232744 1.43250334995541
-2.58345601421332 -2.41126440504304 4.28804611615892 1.85879754845116 -3.15833001121729 -0.129307606219738 5.82329460995964 -4.17079865318772 -2.58345601421332 -2.41126440504304 4.28804611615892 1.85879754845116 -2.59454728950184 -2.3820241611155 4.38005923382251 1.60113112440444 -2.58345601421332 -2.41126440504304 4.28804611615892 1.85879754845116 -2.59799117122704 -2.37304078799815 4.3916950826959 1.57306438139658
