"se_MLE_beta1" "se_MLE_beta2" "se_MLE_beta3" "se_MLE_gama1" "se_MLE_C_beta1" "se_MLE_C_beta2" "se_MLE_C_beta3" "se_MLE_C_gama1" "se_MLE_beta1" "se_SMLE_beta2" "se_SMLE_beta3" "se_SMLE_gama1" "se_SMLE_C_beta1" "se_SMLE_C_beta2" "se_SMLE_C_beta3" "se_SMLE_C_gama1" "se_MDPDE_beta1" "se_MDPDE_beta2" "se_MDPDE_beta3" "se_MDPDE_gama1" "se_MDPDE_C_beta1" "se_MDPDE_C_beta2" "se_MDPDE_C_beta3" "se_MDPDE_C_gama1"
0.0890371676716807 0.164205987204637 0.137641679494726 0.159648120094717 0.207432373666805 0.338410518229311 0.293761588606762 0.165770744474121 0.0890371676716807 0.164205987204637 0.137641679494726 0.159648120094717 0.0906394838219631 0.167532652513631 0.140336901838267 0.161194062153065 0.0890371676716807 0.164205987204637 0.137641679494726 0.159648120094717 0.091135466319984 0.168361716826651 0.141050165877676 0.161214362736932
0.103950852376545 0.185783859464879 0.158497759011593 0.160247979919464 0.21822297679261 0.346182393094437 0.302214333344208 0.16627670644019 0.103950852376545 0.185783859464879 0.158497759011593 0.160247979919464 0.107981460221866 0.19352417151857 0.164847910707901 0.161962081794738 0.103950852376545 0.185783859464879 0.158497759011593 0.160247979919464 0.109953512757199 0.196727682798613 0.167655440804318 0.162058351810765
0.098180187498269 0.178842156314226 0.151733799300827 0.160080879891983 0.214493749413774 0.346685896173517 0.302339309991534 0.166530528742197 0.098180187498269 0.178842156314226 0.151733799300827 0.160080879891983 0.103098339224969 0.188043292047067 0.159543755048589 0.161883134465849 0.098180187498269 0.178842156314226 0.151733799300827 0.160080879891983 0.104327893502101 0.19010401239962 0.161328773385864 0.16193929579283
0.117488294581219 0.211939634727171 0.180741697484431 0.161400458935118 0.22420856998031 0.353843586968689 0.309315095175315 0.166886945278594 0.117488294581219 0.211939634727171 0.180741697484431 0.161400458935118 0.12080887471391 0.216770676399573 0.184900528511217 0.163903363203394 0.117488294581219 0.211939634727171 0.180741697484431 0.161400458935118 0.122967234793131 0.220059249062183 0.187838942486242 0.16389676013653
0.102553230197279 0.187698580457419 0.15772920914327 0.160384924188807 0.225767578863291 0.360959289309935 0.314658839115641 0.167583083471741 0.102553230197279 0.187698580457419 0.15772920914327 0.160384924188807 0.106428178213808 0.19507228986006 0.163977080708541 0.162178077017986 0.102553230197279 0.187698580457419 0.15772920914327 0.160384924188807 0.10728138913259 0.196468949434104 0.165178318170409 0.162208522892948
0.103383964163647 0.185003296188359 0.156841709994649 0.160129068495143 0.213538931804317 0.337700029243221 0.294731491279794 0.164973151132139 0.103383964163647 0.185003296188359 0.156841709994649 0.160129068495143 0.105663651809681 0.187116417527604 0.159057838484004 0.16148128482047 0.103383964163647 0.185003296188359 0.156841709994649 0.160129068495143 0.107685894795631 0.190403579174444 0.161946588228224 0.161572998904275
0.112666260965773 0.20275133482363 0.174655577820457 0.161135497509328 0.214002285981233 0.343467553921296 0.300182021131233 0.167095987801399 0.112666260965773 0.20275133482363 0.174655577820457 0.161135497509328 0.116368094855772 0.209040424510549 0.179775009241116 0.163751996180074 0.112666260965773 0.20275133482363 0.174655577820457 0.161135497509328 0.118473967966485 0.212385280310722 0.182744300709354 0.163763992950545
0.116337305520066 0.207314126093858 0.177528954727135 0.16100697516747 0.225710519979034 0.354563883894563 0.310327780304844 0.16641194943261 0.116337305520066 0.207314126093858 0.177528954727135 0.16100697516747 0.120887497499911 0.214386322503345 0.18385457877255 0.163555789833221 0.116337305520066 0.207314126093858 0.177528954727135 0.16100697516747 0.122758971632072 0.21724635389482 0.186391389292232 0.163539478042634
0.105468847494406 0.190032042376512 0.165957402712185 0.160840253581748 0.221988573114872 0.352494904254324 0.309375158155755 0.168067198342273 0.105468847494406 0.190032042376512 0.165957402712185 0.160840253581748 0.109870499183306 0.197258677375034 0.172110274049431 0.162594724338497 0.105468847494406 0.190032042376512 0.165957402712185 0.160840253581748 0.111906175055088 0.200593666838575 0.175059065895177 0.162711192358415
0.108517210360566 0.193477082391032 0.16391137095651 0.160313772629061 0.219769504792986 0.348449601209477 0.304002340548427 0.165684484955456 0.108517210360566 0.193477082391032 0.16391137095651 0.160313772629061 0.113114060468156 0.201355420802455 0.170525115902688 0.161962068205604 0.108517210360566 0.193477082391032 0.16391137095651 0.160313772629061 0.111320537906232 0.198425721332778 0.167937107263834 0.16258885696321
0.0948288044509345 0.169457554434476 0.144661230973343 0.159767730551876 0.216772287999801 0.342323902845167 0.299074230014503 0.165588954205602 0.0948288044509345 0.169457554434476 0.144661230973343 0.159767730551876 0.0981369876022396 0.174581417735723 0.149305811738201 0.161261534093699 0.0948288044509345 0.169457554434476 0.144661230973343 0.159767730551876 0.0990903225152852 0.176152449128282 0.150668419530307 0.161308055273561
0.107202792343859 0.193342391856688 0.164725011447829 0.160535425974592 0.211622372259751 0.340043957877274 0.29632237079528 0.165784436572512 0.107202792343859 0.193342391856688 0.164725011447829 0.160535425974592 0.111896064990964 0.201026560037622 0.17123556311079 0.163058442500469 0.107202792343859 0.193342391856688 0.164725011447829 0.160535425974592 0.113252771881382 0.203162271001795 0.173114093374409 0.163022265542512
