"MLE_beta1" "MLE_beta2" "MLE_beta3" "MLE_gama1" "MLE_gama2" "MLE_gama3" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_beta3" "MLE_C_gama1" "MLE_C_gama2" "MLE_C_gama3" "SMLE_beta1" "SMLE_beta2" "SMLE_beta3" "SMLE_gama1" "SMLE_gama2" "SMLE_gama3" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_beta3" "SMLE_C_gama1" "SMLE_C_gama2" "SMLE_C_gama3" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_beta3" "MDPDE_gama1" "MDPDE_gama2" "MDPDE_gama3" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_beta3" "MDPDE_C_gama1" "MDPDE_C_gama2" "MDPDE_C_gama3"
-1.07629688729413 -2.28840626967546 -2.95422397150663 3.36788968371281 0.926077378877171 1.46407281762131 -1.60397109767746 -0.965633513694899 -1.6175972528718 4.65039707466321 -2.1293595441389 -1.40347918736882 -1.07629688729413 -2.28840626967546 -2.95422397150663 3.36788968371281 0.926077378877171 1.46407281762131 -1.04785722988353 -2.3051003494573 -3.00518866574017 3.33864722280729 0.950401588026045 1.53484530794747 -1.07629688729413 -2.28840626967546 -2.95422397150663 3.36788968371281 0.926077378877171 1.46407281762131 -1.05531932325308 -2.29556367859476 -2.99111725934165 3.34574025837784 0.941846684180114 1.51974732551869
-1.20031871800207 -2.5425249861557 -2.62852283467192 3.57566938868091 0.720676291009017 1.10887384011177 -1.7395144669523 -1.26504569466981 -1.19400876397464 5.00464325140577 -2.0634383384128 -2.10692753079954 -1.20031871800207 -2.5425249861557 -2.62852283467192 3.57566938868091 0.720676291009017 1.10887384011177 -1.19480636111431 -2.55571248753696 -2.61145215601101 3.48288465050744 0.793472392551529 1.17250919920737 -1.20031871800207 -2.5425249861557 -2.62852283467192 3.57566938868091 0.720676291009017 1.10887384011177 -1.20240093562745 -2.5435728784003 -2.59368062122575 3.45588964360809 0.817399121322802 1.19462954380952
-1.35114808246401 -2.02346894260398 -2.55801480656584 4.03900362722079 0.0560855617317759 0.788791914114807 -1.80439328471178 -0.935051005028289 -1.34959105999456 5.23361347542271 -2.46627809423362 -1.90395813353837 -1.35114808246401 -2.02346894260398 -2.55801480656584 4.03900362722079 0.0560855617317759 0.788791914114807 -1.34975676984431 -2.03437510813872 -2.54159238631157 3.97591996533925 0.192969834484201 0.813264149110549 -1.35114808246401 -2.02346894260398 -2.55801480656584 4.03900362722079 0.0560855617317759 0.788791914114807 -1.36054794377245 -2.01392378794285 -2.52228652444529 3.98396453152885 0.171165020655005 0.799865372210412
-1.24598206839801 -2.53160337513795 -2.49577883054735 3.14610683257512 1.65979733934796 0.972443971426981 -1.84137058312963 -1.4355606509144 -0.64436397123406 4.51148829030896 -1.08461800068798 -2.42800003771237 -1.24598206839801 -2.53160337513795 -2.49577883054735 3.14610683257512 1.65979733934796 0.972443971426981 -1.27387673844368 -2.50083478868916 -2.46464757022504 3.19050301954235 1.62734350928065 0.920149658430545 -1.24598206839801 -2.53160337513795 -2.49577883054735 3.14610683257512 1.65979733934796 0.972443971426981 -1.84137058312963 -1.4355606509144 -0.64436397123406 4.51148829030896 -1.08461800068798 -2.42800003771237
-1.09346896372424 -2.44596792343034 -2.86564952437104 3.56043785420148 1.01601239515334 0.942283784698775 -1.58851348641399 -1.01582156825763 -1.5912658580558 4.44629547691746 -2.06717240066554 -1.25818239417785 -1.09346896372424 -2.44596792343034 -2.86564952437104 3.56043785420148 1.01601239515334 0.942283784698775 -1.12172379249794 -2.41395900358363 -2.803020307237 3.46466895432999 1.15774536236096 0.999642064739802 -1.09346896372424 -2.44596792343034 -2.86564952437104 3.56043785420148 1.01601239515334 0.942283784698775 -1.12799115666153 -2.40427904900168 -2.79037891500711 3.47197225063912 1.14029970673012 0.990282389887348
-1.24452995477397 -2.27015832634071 -2.56735488013743 4.30097846953594 0.0881583573845935 0.354114647789256 -1.60427183387258 -1.08531375917658 -1.72336239044212 5.36902909669628 -2.86516915671648 -1.64086190864168 -1.24452995477397 -2.27015832634071 -2.56735488013743 4.30097846953594 0.0881583573845935 0.354114647789256 -1.25498311531907 -2.27564438487956 -2.53156158306881 4.4512625026891 -0.0704199317705933 0.115764057590941 -1.24452995477397 -2.27015832634071 -2.56735488013743 4.30097846953594 0.0881583573845935 0.354114647789256 -1.25042189903892 -2.29521088438055 -2.53692126345385 4.36971063068995 0.0759312279327906 0.203833080734981
-1.2864227726275 -2.49970322888354 -2.17472470970662 3.86081452142493 0.659917866222406 0.204631631754831 -1.74471927293283 -1.24979574900702 -1.09751642449013 4.93866854208342 -2.08678455477283 -1.89288807116178 -1.2864227726275 -2.49970322888354 -2.17472470970662 3.86081452142493 0.659917866222406 0.204631631754831 -1.31262240273327 -2.4327976581604 -2.13734337859078 3.96938401889372 0.43051725532176 0.0955116300980854 -1.2864227726275 -2.49970322888354 -2.17472470970662 3.86081452142493 0.659917866222406 0.204631631754831 -1.31265206987918 -2.42928337558946 -2.14147693357207 3.9149459550874 0.507429477098477 0.160547930589848
-1.24159380761827 -2.34652862260777 -2.54423782100765 3.96083843761974 0.188655642371094 0.886831401989917 -1.70341390204864 -1.1474810431684 -1.36906124588661 5.09970536057727 -2.48114207494549 -1.67254273820968 -1.24159380761827 -2.34652862260777 -2.54423782100765 3.96083843761974 0.188655642371094 0.886831401989917 -1.24500890055834 -2.32245397519981 -2.53310411161553 3.99117924438577 0.0811898567373793 0.817849315410423 -1.24159380761827 -2.34652862260777 -2.54423782100765 3.96083843761974 0.188655642371094 0.886831401989917 -1.25536190310327 -2.30319452341841 -2.51473057590031 3.99504341465104 0.0768051041281324 0.806830837953748
-1.21044949055538 -2.54690182701549 -2.51211732139261 4.19742875816622 0.35598188993753 0.687947093659866 -1.61339053829364 -1.35479767616541 -1.39528672094524 5.04183844970091 -2.2879117831287 -1.77667543246439 -1.21044949055538 -2.54690182701549 -2.51211732139261 4.19742875816622 0.35598188993753 0.687947093659866 -1.20919527315745 -2.54618327773405 -2.4931169011132 4.26958640313806 0.284514140720046 0.483326862694198 -1.21044949055538 -2.54690182701549 -2.51211732139261 4.19742875816622 0.35598188993753 0.687947093659866 -1.20569691356293 -2.55148395687531 -2.5008237368875 4.22323710287068 0.374735105850255 0.529675764445508
-1.18068003921033 -2.62466491066479 -2.45982723123856 3.88694403614944 1.26508636300584 0.103554861054423 -1.66309517722323 -1.58937017559751 -0.99829820419016 4.95056565963563 -1.31258554643171 -2.63725479624477 -1.18068003921033 -2.62466491066479 -2.45982723123856 3.88694403614944 1.26508636300584 0.103554861054423 -1.17943673633102 -2.60987685938213 -2.44092430355506 3.92485688452358 1.11196932160312 0.0971969880959692 -1.18068003921033 -2.62466491066479 -2.45982723123856 3.88694403614944 1.26508636300584 0.103554861054423 -1.18938387696088 -2.59716431172072 -2.42031736383502 3.92274584370732 1.12322376100424 0.0848716367809847
