"MLE_beta1" "MLE_beta2" "MLE_beta3" "MLE_gama1" "MLE_gama2" "MLE_gama3" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_beta3" "MLE_C_gama1" "MLE_C_gama2" "MLE_C_gama3" "SMLE_beta1" "SMLE_beta2" "SMLE_beta3" "SMLE_gama1" "SMLE_gama2" "SMLE_gama3" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_beta3" "SMLE_C_gama1" "SMLE_C_gama2" "SMLE_C_gama3" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_beta3" "MDPDE_gama1" "MDPDE_gama2" "MDPDE_gama3" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_beta3" "MDPDE_C_gama1" "MDPDE_C_gama2" "MDPDE_C_gama3"
-1.26007815594173 -2.31532542799262 -2.41868959617056 3.66732624171607 0.764774890488331 0.96043431515387 -1.75816150347595 -1.20258885085425 -1.02061805720047 4.74518412777074 -1.7082599576088 -1.97091015743924 -1.26007815594173 -2.31532542799262 -2.41868959617056 3.66732624171607 0.764774890488331 0.96043431515387 -1.25461997408114 -2.31903119780368 -2.42126524695928 3.6419828505265 0.8087804869697 0.97806588102136 -1.26007815594173 -2.31532542799262 -2.41868959617056 3.66732624171607 0.764774890488331 0.96043431515387 -1.75816150347595 -1.20258885085425 -1.02061805720047 4.74518412777074 -1.7082599576088 -1.97091015743924
-1.21100463608385 -2.44238391774892 -2.60594256626213 3.94150280997467 0.658905262404988 0.582295943126907 -1.69217385017852 -1.34954886377599 -1.20758118843305 5.04550798400505 -1.91035170993598 -2.19366012910085 -1.21100463608385 -2.44238391774892 -2.60594256626213 3.94150280997467 0.658905262404988 0.582295943126907 -1.22443349733531 -2.43505304565537 -2.57648713225677 3.96266294556896 0.658493919788615 0.535847375324237 -1.21100463608385 -2.44238391774892 -2.60594256626213 3.94150280997467 0.658905262404988 0.582295943126907 -1.23179940453541 -2.42160405669864 -2.56104416620928 3.96596377453164 0.650766938283716 0.52455514999845
-1.13677699195224 -2.52242999349152 -2.61082246957317 3.65392653089406 0.692583960707021 0.870904576041321 -1.6074351568333 -1.04691259323155 -1.57740329175664 4.66595035143564 -2.35803126544786 -1.21202413205468 -1.13677699195224 -2.52242999349152 -2.61082246957317 3.65392653089406 0.692583960707021 0.870904576041321 -1.10588261000334 -2.57596517453516 -2.65883774992192 3.57882641660591 0.814235922046424 0.959936000065655 -1.13677699195224 -2.52242999349152 -2.61082246957317 3.65392653089406 0.692583960707021 0.870904576041321 -1.11473764035763 -2.56062545802761 -2.64291242153412 3.58304653930381 0.803170871137405 0.952186078076865
-1.34054227783486 -2.50002021900677 -2.20096661701896 3.78838671086606 1.35093500260932 -0.0039933613114008 -1.85224275549217 -1.54015487483837 -0.541163193041743 4.75093209095779 -0.836614266771694 -2.95127423929382 -1.34054227783486 -2.50002021900677 -2.20096661701896 3.78838671086606 1.35093500260932 -0.0039933613114008 -1.35340719130675 -2.48695590580509 -2.15273748768772 3.90100850223678 1.19359178013325 -0.136300815393233 -1.34054227783486 -2.50002021900677 -2.20096661701896 3.78838671086606 1.35093500260932 -0.0039933613114008 -1.36665670727934 -2.4675021054294 -2.12256445087156 3.91581213220929 1.16935729579751 -0.174873944158186
-1.0617475621572 -2.59843941149338 -2.75137926156957 3.56447999838327 0.744556201413671 1.02838587752338 -1.51049906912984 -1.22838386629426 -1.62324720516858 4.6442947171096 -2.2328839160514 -1.36155576180129 -1.0617475621572 -2.59843941149338 -2.75137926156957 3.56447999838327 0.744556201413671 1.02838587752338 -1.06457439015938 -2.58903036853729 -2.74708651182737 3.59498276466052 0.681261959411206 0.969246212759548 -1.0617475621572 -2.59843941149338 -2.75137926156957 3.56447999838327 0.744556201413671 1.02838587752338 -1.07438102490716 -2.57183307986496 -2.72774148672491 3.59413822053947 0.676845353312907 0.962856300697862
-1.11206741417644 -2.5162028774625 -2.59514199490823 3.95975053425134 0.627357900783518 0.580609117959817 -1.57611038801311 -1.41674770952018 -1.31475374499339 5.10428028268848 -1.93403109465907 -2.20102698800696 -1.11206741417644 -2.5162028774625 -2.59514199490823 3.95975053425134 0.627357900783518 0.580609117959817 -1.09310122555302 -2.5193551998545 -2.64844416472436 3.78163497757809 0.807425033571053 0.861421943522229 -1.11206741417644 -2.5162028774625 -2.59514199490823 3.95975053425134 0.627357900783518 0.580609117959817 -1.09923260361034 -2.51119334634626 -2.63498159494297 3.78944100816235 0.799752336044914 0.846356588088867
-1.21879609241949 -2.50124463766858 -2.53861622633966 3.62305666563649 0.930089731275191 0.799419838076556 -1.74165111638157 -1.27801646654316 -1.12195555372871 4.85303188211405 -1.85098614805295 -2.04096001482859 -1.21879609241949 -2.50124463766858 -2.53861622633966 3.62305666563649 0.930089731275191 0.799419838076556 -1.21184329256824 -2.51099977943521 -2.54668989209044 3.64269317998707 0.919891285513928 0.75070073840004 -1.21879609241949 -2.50124463766858 -2.53861622633966 3.62305666563649 0.930089731275191 0.799419838076556 -1.22054513176452 -2.4964350307329 -2.53006465489621 3.64820169334234 0.909189206531448 0.738381800847976
-1.19974434810351 -2.65041050873011 -2.27211918188504 3.73350980759606 0.721860969383621 0.560420127715407 -1.67330402659014 -1.52824294982431 -0.943556368861746 4.87802763366028 -1.73205877655683 -2.24015292102629 -1.19974434810351 -2.65041050873011 -2.27211918188504 3.73350980759606 0.721860969383621 0.560420127715407 -1.20816572265265 -2.64405660095238 -2.24785410179164 3.78425451832764 0.67530415278266 0.485950348310668 -1.19974434810351 -2.65041050873011 -2.27211918188504 3.73350980759606 0.721860969383621 0.560420127715407 -1.20808674941361 -2.64452880492425 -2.24886952210114 3.7414064477334 0.735965148307803 0.540627689953784
-1.09335987839841 -2.49135845455826 -2.67885606241853 3.58583463759527 0.725451105919359 0.962981839584341 -1.55270486243878 -1.34065678247041 -1.38017244459064 4.71084039450771 -1.91236439478623 -1.76684944792937 -1.09335987839841 -2.49135845455826 -2.67885606241853 3.58583463759527 0.725451105919359 0.962981839584341 -1.08103507578357 -2.50164869249984 -2.70421915363767 3.54738615565674 0.776520063674864 0.972908949866461 -1.09335987839841 -2.49135845455826 -2.67885606241853 3.58583463759527 0.725451105919359 0.962981839584341 -1.0892465869315 -2.4855522843936 -2.68981090538728 3.52738624102726 0.802428082270349 0.981426526421686
-1.29583104555998 -2.39698587002487 -2.33375122400034 3.88109473145781 0.383123116121919 0.763852751748961 -1.70243561776359 -1.1991875672122 -1.31284806460239 4.94781298805286 -2.27932488946798 -1.6680174426933 -1.29583104555998 -2.39698587002487 -2.33375122400034 3.88109473145781 0.383123116121919 0.763852751748961 -1.27637263479168 -2.43696750494463 -2.39332109389915 3.97543146582083 0.236839467499133 0.712245229331482 -1.29583104555998 -2.39698587002487 -2.33375122400034 3.88109473145781 0.383123116121919 0.763852751748961 -1.28405278898288 -2.42216282660207 -2.3765950756035 3.9605345876512 0.254126126767215 0.7211746657637
-1.28005544518973 -2.48226366327195 -2.37114522969033 4.29795336472477 0.211255768205962 0.168004666176444 -1.64740566856815 -1.43849320154466 -1.38789321320835 5.38050697025874 -2.34636903795401 -2.13247517071315 -1.28005544518973 -2.48226366327195 -2.37114522969033 4.29795336472477 0.211255768205962 0.168004666176444 -1.27569074293 -2.49111302069643 -2.37344924338992 4.35299159396213 0.130704998544806 0.0575394515979984 -1.28005544518973 -2.48226366327195 -2.37114522969033 4.29795336472477 0.211255768205962 0.168004666176444 -1.29184172029915 -2.46039374256453 -2.3383075017655 4.35765603985765 0.113821535296378 0.0367545406771353
