"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1"
-1.8014255994123 -1.95356431776218 4.74433474869367 -1.83726750993323 -0.859162976434313 2.67418661957399 -1.8014255994123 -1.95356431776218 4.74433474869367 -1.81052970246534 -1.93420634845505 4.73959585361007 -1.8014255994123 -1.95356431776218 4.74433474869367 -1.81057646312489 -1.92720811302439 4.71631978970255
-1.7037314643837 -2.11190109510177 4.55306986591693 -1.7447633077975 -0.913217526656952 2.51855266850438 -1.7037314643837 -2.11190109510177 4.55306986591693 -1.73655981034291 -2.01377451476194 4.51967404719343 -1.7037314643837 -2.11190109510177 4.55306986591693 -1.7410272856833 -2.00849870069292 4.54315883129696
-1.80273088382402 -1.98743568988734 4.59010646690543 -1.81196788440664 -0.93402491672368 2.61585034834748 -1.80273088382402 -1.98743568988734 4.59010646690543 -1.7869688678485 -2.00839952335584 4.49907556340678 -1.80273088382402 -1.98743568988734 4.59010646690543 -1.78591239451543 -2.01518371995968 4.52505383015292
-1.8116264084358 -1.88972197540165 4.23384031452137 -1.85563356700207 -0.78361438086105 2.58095424657979 -1.8116264084358 -1.88972197540165 4.23384031452137 -1.82918763831562 -1.77620978020331 4.1297996668726 -1.8116264084358 -1.88972197540165 4.23384031452137 -1.8319062460868 -1.77099657482794 4.14635927093067
-1.87424588722438 -1.97613092535995 4.79026347974042 -1.89862582552553 -0.720196731886071 2.52598892664964 -1.87424588722438 -1.97613092535995 4.79026347974042 -1.89298941426407 -1.89079591347416 4.73407838833611 -1.87424588722438 -1.97613092535995 4.79026347974042 -1.89348380013329 -1.88543495058351 4.72186741906824
-1.92308141567149 -1.8363832027147 4.57806666513059 -1.90275230030982 -0.804872823471543 2.59655922070154 -1.92308141567149 -1.8363832027147 4.57806666513059 -1.90293477817587 -1.85167333753017 4.53869462476165 -1.92308141567149 -1.8363832027147 4.57806666513059 -1.8999251466508 -1.85958428747507 4.56038576088339
-1.73854780845323 -2.14367711447813 4.70025962923299 -1.75954722992442 -0.991606139038659 2.57267763103592 -1.73854780845323 -2.14367711447813 4.70025962923299 -1.7473985024695 -2.085078041008 4.63590587288002 -1.73854780845323 -2.14367711447813 4.70025962923299 -1.74882494848885 -2.08151473564537 4.65126824091359
-1.71436427548738 -2.0214263994446 4.34290857866564 -1.75905592871596 -0.902434109583967 2.55861875358011 -1.71436427548738 -2.0214263994446 4.34290857866564 -1.7214932641459 -1.99408266314574 4.31598966215694 -1.71436427548738 -2.0214263994446 4.34290857866564 -1.72323223939136 -1.9738554662489 4.27798948596708
-1.82236608241253 -1.86359244405096 4.99233026384431 -1.85126738595927 -0.784917253483491 2.65349332079223 -1.82236608241253 -1.86359244405096 4.99233026384431 -1.80074834901125 -1.95873458579709 5.04065461207204 -1.82236608241253 -1.86359244405096 4.99233026384431 -1.8012270648368 -1.95460809444805 5.02425113687714
-1.81863102875171 -2.14833266287272 4.78115203398986 -1.8449207478687 -0.868019454364677 2.51571039924069 -1.81863102875171 -2.14833266287272 4.78115203398986 -1.82953473353378 -2.08562986402555 4.76106793520196 -1.81863102875171 -2.14833266287272 4.78115203398986 -1.83019141432158 -2.08082067780882 4.7480572076479
-1.94174152829603 -1.5738930227915 4.5487092835601 -1.95287754801631 -0.48636901556019 2.57116413734375 -1.94174152829603 -1.5738930227915 4.5487092835601 -1.961365759655 -1.4752058790602 4.55569556646082 -1.94174152829603 -1.5738930227915 4.5487092835601 -1.96254394051099 -1.46491096442686 4.52764450256251
-1.76205569791704 -2.11706786314672 4.78508435431858 -1.78771019175387 -0.96173755338338 2.58637533672912 -1.76205569791704 -2.11706786314672 4.78508435431858 -1.75473807817201 -2.1563614731206 4.78558527799593 -1.76205569791704 -2.11706786314672 4.78508435431858 -1.75560127826668 -2.14867713518276 4.76825392080219
-1.82043930834326 -1.82946547235362 4.42924743702631 -1.83278081023853 -0.833084290060742 2.58925518550219 -1.82043930834326 -1.82946547235362 4.42924743702631 -1.78287490753975 -1.98538024938962 4.49282440734892 -1.82043930834326 -1.82946547235362 4.42924743702631 -1.78574227526103 -1.96963206510016 4.47029740518892
-1.80607023125019 -2.07165989325485 4.76482182619876 -1.852862449883 -0.864679670282541 2.65017348421096 -1.80607023125019 -2.07165989325485 4.76482182619876 -1.83725138092897 -1.98108538291724 4.85362172665272 -1.80607023125019 -2.07165989325485 4.76482182619876 -1.83717118173518 -1.97544717495072 4.83791033596658
-1.72453838532294 -2.12578315806217 4.60226050584766 -1.75494480151825 -0.933324803380574 2.52869615070807 -1.72453838532294 -2.12578315806217 4.60226050584766 -1.7453054879273 -2.05607516892343 4.61042044804875 -1.72453838532294 -2.12578315806217 4.60226050584766 -1.7454073032251 -2.04836388376436 4.58827443937188
-1.65882077200835 -2.41562266131705 4.55606556571115 -1.71180366578875 -1.22521987953747 2.61321565389272 -1.65882077200835 -2.41562266131705 4.55606556571115 -1.64359862285232 -2.47225544356525 4.53806468885186 -1.65882077200835 -2.41562266131705 4.55606556571115 -1.64481360050843 -2.4709984765743 4.55828528064468
-1.65517699197981 -2.34917313468695 4.46966913668981 -1.71816609624327 -1.1588195513697 2.61534393652089 -1.65517699197981 -2.34917313468695 4.46966913668981 -1.64732710463992 -2.35445124407553 4.43290677390167 -1.65517699197981 -2.34917313468695 4.46966913668981 -1.65013166063773 -2.33420213283091 4.3963191318265
-1.81197539793376 -1.97396699790355 4.3310724293071 -1.83417269164918 -0.848775515404277 2.51706132907914 -1.81197539793376 -1.97396699790355 4.3310724293071 -1.80446383733714 -2.02089805531882 4.32771311037804 -1.81197539793376 -1.97396699790355 4.3310724293071 -1.80680724569248 -1.99882563280941 4.29511367607405
-1.80152379376706 -2.24743464300347 4.52305037913535 -1.81939841300116 -1.09522419875103 2.60229771047554 -1.80152379376706 -2.24743464300347 4.52305037913535 -1.7739526535639 -2.29983969720469 4.5481548595644 -1.80152379376706 -2.24743464300347 4.52305037913535 -1.77779073697202 -2.28282042365945 4.51658564012268
-1.85563203595796 -2.09049713110264 4.74471904857236 -1.88350944666101 -0.914632339904057 2.64025048051794 -1.85563203595796 -2.09049713110264 4.74471904857236 -1.85255589639525 -2.06738967376582 4.6823756969683 -1.85563203595796 -2.09049713110264 4.74471904857236 -1.8540229108893 -2.05789080255968 4.65871792886784
-1.80856732510079 -2.07725222076175 4.75258806424366 -1.8627247336048 -0.888782811125973 2.67982290552683 -1.80856732510079 -2.07725222076175 4.75258806424366 -1.82522276504526 -1.99572897778664 4.65685087277766 -1.80856732510079 -2.07725222076175 4.75258806424366 -1.82688776870389 -1.99429662965696 4.67420990100279
