"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1"
-1.82242333870973 -1.94863240039307 4.5481609571637 -1.85683653187412 -0.834174130089591 2.61162406008615 -1.82242333870973 -1.94863240039307 4.5481609571637 -1.81047906312052 -1.97384325315018 4.54408830515402 -1.82242333870973 -1.94863240039307 4.5481609571637 -1.8127562678097 -1.96235706046917 4.52456476896889
-1.70931910501325 -2.03119340580351 4.45963193144283 -1.7594386123945 -0.942561152587118 2.62594228933384 -1.70931910501325 -2.03119340580351 4.45963193144283 -1.70248993886793 -2.03791272125543 4.40754898208761 -1.70931910501325 -2.03119340580351 4.45963193144283 -1.70488052369332 -2.02088840798485 4.37587874456865
-1.7873240315977 -1.96103105788507 4.37773461616968 -1.82898974741352 -0.855365637675709 2.59230175769377 -1.7873240315977 -1.96103105788507 4.37773461616968 -1.77761756890492 -1.95183559112099 4.29777770351838 -1.7873240315977 -1.96103105788507 4.37773461616968 -1.78085110420083 -1.92946569755393 4.25616491960723
-1.78252592580279 -2.05908281402444 4.46851891757007 -1.80975676122069 -0.927527610839616 2.57038836173936 -1.78252592580279 -2.05908281402444 4.46851891757007 -1.78702410802781 -2.03936878341465 4.44667731451474 -1.78252592580279 -2.05908281402444 4.46851891757007 -1.78801614840775 -2.02636741078002 4.41744317319453
-1.76683252857308 -1.99007658093492 4.43120028921633 -1.78427293198849 -0.970115221806067 2.61372287285576 -1.76683252857308 -1.99007658093492 4.43120028921633 -1.7502308393943 -2.04819576528919 4.38498357679803 -1.76683252857308 -1.99007658093492 4.43120028921633 -1.75213899677189 -2.02968392058894 4.34972222766588
-1.79251655253001 -2.12923332618195 4.57982694895777 -1.81018927955498 -0.977833350917329 2.56302604080724 -1.79251655253001 -2.12923332618195 4.57982694895777 -1.78849559988151 -2.1344849949393 4.56445606393393 -1.79251655253001 -2.12923332618195 4.57982694895777 -1.78974876399735 -2.13210166820387 4.58173630386014
-1.765469500873 -2.21670008798138 4.58971889014824 -1.77684178333843 -0.936023430875946 2.41963971163827 -1.765469500873 -2.21670008798138 4.58971889014824 -1.76132372353658 -2.20574526691345 4.54343870688134 -1.765469500873 -2.21670008798138 4.58971889014824 -1.76324721055834 -2.19339174720621 4.52231103281568
-1.79327654665917 -1.95184756966026 4.55189227063499 -1.82059539428722 -0.903661843504094 2.65147994772482 -1.79327654665917 -1.95184756966026 4.55189227063499 -1.79638814631322 -1.96076710829211 4.52562137671619 -1.79327654665917 -1.95184756966026 4.55189227063499 -1.79654511112276 -1.95138384513978 4.50355762083493
-1.75852162188282 -1.99747281527162 4.51560956240696 -1.79427975801152 -0.913516741647499 2.63271950871065 -1.75852162188282 -1.99747281527162 4.51560956240696 -1.76024600037812 -1.96712541213302 4.48225803930022 -1.75852162188282 -1.99747281527162 4.51560956240696 -1.76174810289025 -1.95531173970351 4.45628481482493
-1.88489158839845 -1.82785908934362 4.77759677238614 -1.91601245731568 -0.710505103322765 2.66598298658768 -1.88489158839845 -1.82785908934362 4.77759677238614 -1.88974010059469 -1.7880967417808 4.76125166036901 -1.88489158839845 -1.82785908934362 4.77759677238614 -1.89112495238721 -1.77941040226618 4.74080038229025
