"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_C_beta1" "MLE_C_beta2" "MLE_C_gama1" "SMLE_beta1" "SMLE_beta2" "SMLE_gama1" "SMLE_C_beta1" "SMLE_C_beta2" "SMLE_C_gama1" "MDPDE_beta1" "MDPDE_beta2" "MDPDE_gama1" "MDPDE_C_beta1" "MDPDE_C_beta2" "MDPDE_C_gama1"
-1.81627728143642 -1.94579058321425 4.49411925771941 -1.83549196363582 -0.815117584165257 2.53857396636957 -1.81627728143642 -1.94579058321425 4.49411925771941 -1.81843273814019 -1.95277692302392 4.49305346338803 -1.81627728143642 -1.94579058321425 4.49411925771941 -1.81971196687781 -1.93961593256291 4.47104509241803
-1.78150157539824 -2.027299347377 4.55914920724555 -1.82331207460957 -0.884152886905971 2.62605642259028 -1.78150157539824 -2.027299347377 4.55914920724555 -1.79567292357773 -1.97123158788245 4.5660733990951 -1.78150157539824 -2.027299347377 4.55914920724555 -1.79678399103553 -1.96106370486865 4.54601331928548
-1.74151313843959 -2.10988405452465 4.55928628943431 -1.77656581537006 -0.953845838941476 2.56868252984736 -1.74151313843959 -2.10988405452465 4.55928628943431 -1.73969062739108 -2.083477128253 4.46201249102312 -1.74151313843959 -2.10988405452465 4.55928628943431 -1.74027831591544 -2.08640680625228 4.48873273543917
-1.78797230881412 -1.95886417549847 4.49726542161736 -1.81666259907587 -0.853588624810594 2.57995811026695 -1.78797230881412 -1.95886417549847 4.49726542161736 -1.78606331932769 -1.95623807615132 4.45334594277374 -1.78797230881412 -1.95886417549847 4.49726542161736 -1.78764975598555 -1.94373127070021 4.43207692938235
-1.83169179370589 -1.93717523921805 4.43791917044977 -1.86432062463158 -0.849840254898702 2.62892869535783 -1.83169179370589 -1.93717523921805 4.43791917044977 -1.8220404376001 -1.94245186075511 4.39272915008759 -1.83169179370589 -1.93717523921805 4.43791917044977 -1.82498148229268 -1.92148618228424 4.35345315289815
-1.8128989674012 -2.02674567035646 4.552337534624 -1.83414954287406 -0.915341506270823 2.5986729338662 -1.8128989674012 -2.02674567035646 4.552337534624 -1.80886853067067 -2.02618142656284 4.52467505632332 -1.8128989674012 -2.02674567035646 4.552337534624 -1.81015760573552 -2.01636116120807 4.50380384299581
-1.80595892791517 -1.97598450131019 4.49784741420274 -1.83379649101241 -0.895403823041637 2.62310359768143 -1.80595892791517 -1.97598450131019 4.49784741420274 -1.79960028392988 -1.98734583857145 4.46201207835862 -1.80595892791517 -1.97598450131019 4.49784741420274 -1.80128794852055 -1.97392272476979 4.4360931823226
-1.78133545216845 -2.11450811737042 4.57833522638458 -1.8430027994535 -0.875135125492523 2.62118637176401 -1.78133545216845 -2.11450811737042 4.57833522638458 -1.80192247385395 -2.00832013670885 4.5468526802653 -1.78133545216845 -2.11450811737042 4.57833522638458 -1.80202900148811 -2.01241816336342 4.57004907834621
-1.79979046352209 -1.94944638688027 4.35233540853151 -1.82593458232316 -0.825830752461368 2.53265697650516 -1.79979046352209 -1.94944638688027 4.35233540853151 -1.80303780192405 -1.92086277417045 4.36599157893928 -1.79979046352209 -1.94944638688027 4.35233540853151 -1.80484486428909 -1.90754739863721 4.34035577322931
-1.83241251594534 -1.96157836575939 4.51233039388874 -1.84217285879757 -0.902259111796409 2.59736962006288 -1.83241251594534 -1.96157836575939 4.51233039388874 -1.81827445502533 -2.00501805090892 4.4583936049687 -1.83241251594534 -1.96157836575939 4.51233039388874 -1.81975233102265 -1.99257614839874 4.43502715163211
-1.81382034926145 -2.00510190040678 4.51869977397553 -1.84258321476724 -0.905896015436339 2.63661447484408 -1.81382034926145 -2.00510190040678 4.51869977397553 -1.81927862556752 -1.98126402336817 4.49601701279248 -1.81382034926145 -2.00510190040678 4.51869977397553 -1.82043338360822 -1.96860541070841 4.47058342206406
-1.78906947100382 -2.00976758715193 4.43962307968822 -1.80898225666401 -0.933235346677502 2.5832647658121 -1.78906947100382 -2.00976758715193 4.43962307968822 -1.78146781038306 -2.03497688176503 4.43125633431352 -1.78906947100382 -2.00976758715193 4.43962307968822 -1.78282909322981 -2.02149779794705 4.40236363386346
